vendor,product,version,date,url
asus,ZenFone_A500KL,unknown,unknown,https://dlcdnets.asus.com/pub/ASUS/ZenFone/A500KL/TW_11_4_6_51_UpdateLauncher.zip
asus,ZenFone C (ZC451CG),unknown,unknown,https://dlcdnets.asus.com/pub/ASUS/ZenFone/ZC451CG/UL-ASUS_Z007-WW-4.11.40.155-user.zip
asus,ZenFone C (ZC451CG),unknown,unknown,https://dlcdnets.asus.com/pub/ASUS/ZenFone/ZC451CG/UL-ASUS_Z007-WW-4.11.40.124-user.zip
asus,ZenFone A450CG,unknown,unknown,https://dlcdnets.asus.com/pub/ASUS/ZenFone/A450CG/UL-ASUS_T00Q-WW-5.4.2.0-user.zip
asus,ZenFone C (ZC451CG),unknown,unknown,https://dlcdnets.asus.com/pub/ASUS/ZenFone/ZC451CG/UL-ASUS_Z007-WW-4.11.40.176-user.zip
asus,ZenFone C (ZC451CG),unknown,unknown,https://dlcdnets.asus.com/pub/ASUS/ZenFone/ZC451CG/UL-ASUS_Z007-WW-4.11.40.88-user.zip
asus,ZenFone_A500KL,unknown,unknown,https://dlcdnets.asus.com/pub/ASUS/ZenFone/A500KL/WW_11_4_6_71_UpdateLauncher.zip
asus,ZenFone C (ZC451CG),unknown,unknown,https://dlcdnets.asus.com/pub/ASUS/ZenFone/ZC451CG/UL-ASUS_Z007-WW-4.11.40.179-user.zip
asus,ZenFone_A500KL,unknown,unknown,https://dlcdnets.asus.com/pub/ASUS/ZenFone/A500KL/TW_11_4_5_73_UpdateLauncher.zip
asus,ZenFone_A500KL,unknown,unknown,https://dlcdnets.asus.com/pub/ASUS/ZenFone/A500KL/TW_11_4_5_83_UpdateLauncher.zip
asus,ZenFone_A500KL,unknown,unknown,https://dlcdnets.asus.com/pub/ASUS/ZenFone/A500KL/TW_11_4_6_63_UpdateLauncher.zip
asus,ZenFone C (ZC451CG),unknown,unknown,https://dlcdnets.asus.com/pub/ASUS/ZenFone/ZC451CG/UL-ASUS_Z007-WW-4.11.40.128-user.zip
asus,M52AD,unknown,unknown,https://dlcdnets.asus.com/pub/ASUS/Desktop/M52AD/H81M-E-ASUS-M52AD-0501.zip
asus,ZenFone_A500KL,unknown,unknown,https://dlcdnets.asus.com/pub/ASUS/ZenFone/A500KL/TW_A500KL_11_4_6_94.zip
asus,ZenFone C (ZC451CG),unknown,unknown,https://dlcdnets.asus.com/pub/ASUS/ZenFone/ZC451CG/UL-ASUS_Z007-WW-4.11.40.119-user.zip
asus,ZenFone A450CG,unknown,unknown,https://dlcdnets.asus.com/pub/ASUS/ZenFone/A450CG/UL-ASUS_T00Q-WW-5.3.5.0-user.zip
asus,ZenFone A400CXG,unknown,unknown,https://dlcdnets.asus.com/pub/ASUS/ZenFone/A400CG/UL-ASUS_T00I-WW-9.9.9.0-user.zip
asus,ZenFone A400CG,unknown,unknown,https://dlcdnets.asus.com/pub/ASUS/ZenFone/A400CG/UL-ASUS_T00I-CHT-7.3.3.0-user.zip
asus,ZenFone A400CXG,unknown,unknown,https://dlcdnets.asus.com/pub/ASUS/ZenFone/A400CG/UL-ASUS_T00I-CHT-7.3.3.0-user.zip
asus,ZenFone A400CG,unknown,unknown,https://dlcdnets.asus.com/pub/ASUS/ZenFone/A400CG/UL-ASUS_T00I-CHT-7.4.6.0-user.zip
asus,ZenFone A400CXG,unknown,unknown,https://dlcdnets.asus.com/pub/ASUS/ZenFone/A400CG/UL-ASUS_T00I-CHT-7.4.6.0-user.zip
asus,ZenFone A450CG,unknown,unknown,https://dlcdnets.asus.com/pub/ASUS/ZenFone/A450CG/UL_ASUS_T00Q_WW_4_1_1.zip
asus,ZenFone A450CG,unknown,unknown,https://dlcdnets.asus.com/pub/ASUS/ZenFone/A450CG/UL_ASUS_T00Q_TW_4_1_1.zip
asus,ZenFone A450CG,unknown,unknown,https://dlcdnets.asus.com/pub/ASUS/ZenFone/A450CG/UL_ASUS_T00Q_TW_4_3_2.zip
asus,ZenFone A450CG,unknown,unknown,https://dlcdnets.asus.com/pub/ASUS/ZenFone/A450CG/UL_ASUS_T00Q_WW_4_2_3.zip
asus,ZenFone A450CG,unknown,unknown,https://dlcdnets.asus.com/pub/ASUS/ZenFone/A450CG/UpdateLauncher_ASUS_T00Q_TW_4_2_3.zip
asus,ZenFone A450CG,unknown,unknown,https://dlcdnets.asus.com/pub/ASUS/ZenFone/A450CG/UL_ASUS_T00Q_WW_4_3_4.zip
asus,ZenFone A450CG,unknown,unknown,https://dlcdnets.asus.com/pub/ASUS/ZenFone/A450CG/UL-ASUS_T00Q-TW-4.5.1.0-user.zip
asus,ZenFone A450CG,unknown,unknown,https://dlcdnets.asus.com/pub/ASUS/ZenFone/A450CG/UL-ASUS_T00Q-WW-4.4.0.0-user.zip
asus,ZenFone A450CG,unknown,unknown,https://dlcdnets.asus.com/pub/ASUS/ZenFone/A450CG/UL-ASUS_T00Q-TW-4.4.0.0-user.zip
asus,ZenFone A450CG,unknown,unknown,https://dlcdnets.asus.com/pub/ASUS/ZenFone/A450CG/UL-ASUS_T00Q-WW-4.5.1.0-user.zip
asus,ZenFone A450CG,unknown,unknown,https://dlcdnets.asus.com/pub/ASUS/ZenFone/A450CG/UL_ASUS_T00Q_WW_5_3_3.zip
asus,ZenFone A450CG,unknown,unknown,https://dlcdnets.asus.com/pub/ASUS/ZenFone/A450CG/UL-ASUS_T00Q-TW-5.3.5.0-user.zip
asus,ZenFone A450CG,unknown,unknown,https://dlcdnets.asus.com/pub/ASUS/ZenFone/A450CG/UL_ASUS_T00Q_WW_9_9_10.zip
asus,ZenFone A450CG,unknown,unknown,https://dlcdnets.asus.com/pub/ASUS/ZenFone/A450CG/UL-ASUS_T00Q-TW-5.3.4.0-user.zip
