vendor,product,version,date,url
d-link,DIR-615,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dir615e4/dir615e4-firmware.bin
d-link,DIR-615,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dir615d/dlink-dir615d-factory-webflash.bin
d-link,DIR-825,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dir825-c1/factory-to-ddwrt_NA.bin
d-link,DIR-300,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dir300/dir300-firmware.bin
d-link,DIR-300,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dir300/linux.bin
d-link,DIR-615,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dir615i3/dir615i3-firmware.bin
d-link,DIR-632,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dir632a/dir632a-firmware.bin
d-link,DIR-866L,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dir866/dir866-webflash.bin
d-link,DIR-400,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dir400/dir400-firmware.bin
d-link,DIR-400,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dir400/linux.bin
d-link,DIR-600,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dir600b/dlink-dir600b-factory-webflash.bin
d-link,DIR-615,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dir615e3/dir615e3-factory-to-ddwrt-firmware.bin
d-link,DIR-615,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dir615h/dir615h-ddwrt-webflash.bin
d-link,DIR-615,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dir615i1/dir615i1-factory-to-ddwrt-firmware.bin
d-link,DIR-615,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dir615h/dlink-dir615h-factory-webflash.bin
d-link,DIR-615,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dir615d/dir615d-ddwrt-webflash.bin
d-link,DIR-810L,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dir810l-a1/factory-to-ddwrt.bin
d-link,DIR-632,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dir632a/factory-to-ddwrt_NA.bin
d-link,DIR-810L,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dir810l-b1/factory-to-ddwrt.bin
d-link,DAP-3410,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dap3410/factory-to-ddwrt.bin
d-link,DIR-825,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dir825-c1/dir825c1-firmware.bin
d-link,DIR-885L,unknown,unknown,https://download1.dd-wrt.com/dd-wrtv2/downloads/betas/2020/11-03-2020-r44715/dlink-dir885l/dir885-webflash.bin
