vendor,product,version,date,url
dlink,DFL-2560G,5x-120-EN,6/3/19,ftp://FTP2.DLINK.COM/PRODUCTS/DFL-2560G/REVA/DFL-2560G_REVA_FIRMWARE_v12.00.16.09_WW.zip
dlink,DCS-6517,unknown,1/18/17,ftp://FTP2.DLINK.COM/PRODUCTS/DCS-6517/REVA/DCS-6517_REVA_FIRMWARE_1.11_WW.zip
dlink,DCS-6513,unknown,10/16/15,ftp://FTP2.DLINK.COM/PRODUCTS/DCS-6513/REVA/DCS-6513_REVA_FIRMWARE_1.04.00.ZIP
dlink,DCS-6315,unknown,7/15/16,ftp://FTP2.DLINK.COM/PRODUCTS/DCS-6315/REVA/DCS-6315_REV_RELEASENOTES_1.05.00.ZIP
dlink,DCS-6212L,unknown,7/12/16,ftp://FTP2.DLINK.COM/PRODUCTS/DCS-6212L/REVA/DCS-6212L_REVA_FIRMWARE_1.00.12.ZIP
dlink,DAP-2660,unknown,2/5/15,ftp://ftp2.dlink.com/PRODUCTS/DAP-2660/REVA/DAP-2660_REVA_FIRMWARE_1.06.RC025.ZIP
dlink,DCS-6210,unknown,2/11/15,ftp://ftp2.dlink.com/PRODUCTS/DCS-6210/REVA/DCS-6210_REVA_FIRMWARE_1.03.00.ZIP
dlink,DAP-2553,unknown,4/7/17,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-2553/REVB/DAP-2553_REVB_FIRMWARE_3.06RC027.zip
dlink,DAP-1665,unknown,3/31/17,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1665/REVB/DAP-1665_REVB_FIRMWARE_2.00B19.zip
dlink,DAP-2330,unknown,7/1/14,ftp://ftp2.dlink.com/PRODUCTS/DAP-2330/REVA/DAP-2330_REVA_FIRMWARE_1.00.ZIP
dlink,DAP-2553,unknown,4/7/17,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-2553/REVB/DAP-2553_REVB_FIRMWARE_3.10RC031.zip
dlink,DAP-2660,unknown,6/3/14,ftp://ftp2.dlink.com/PRODUCTS/DAP-2660/REVA/DAP-2660_REVA_FIRMWARE_1.00.ZIP
dlink,DCS-6210,unknown,11/5/15,ftp://FTP2.DLINK.COM/PRODUCTS/DCS-6210/REVA/DCS-6210_REVA_FIRMWARE_1.05.00.ZIP
dlink,DES-3226L,5x-128-EN,11/7/06,ftp://FTP2.DLINK.COM/PRODUCTS/DES-3226L/REVB/DES-3226L_REVB_FIRMWARE_1.0.3.04.ZIP
dlink,DES-3228PA,5x-124-EN,10/10/13,ftp://ftp2.dlink.com/PRODUCTS/DES-3228PA/REVA/DES-3228PA_FIRMWARE_1.00.43.ZIP
dlink,DCS-7110,unknown,10/26/15,ftp://FTP2.DLINK.COM/PRODUCTS/DCS-7110/REVB/DCS-7110_REVB_FIRMWARE_3.01.ZIP
dlink,DES-3252P,5x-124-EN,10/10/13,ftp://ftp2.dlink.com/PRODUCTS/DES-3252P/REVA/DES-3252P_FIRMWARE_1.0.0.34.ZIP
dlink,DES-3526,124-EN,7/16/13,ftp://FTP2.DLINK.COM/PRODUCTS/DES-3526/REVA/DES-3526_FIRMWARE_2.00B19.ZIP
dlink,DCS-4603,5005851,4/22/19,ftp://FTP2.DLINK.COM/PRODUCTS/DCS-4603/REVA/DCS-4603_REVA_FIRMWARE_v1.03.04.zip
dlink,DCS-4603,5082555,10/28/16,ftp://FTP2.DLINK.COM/PRODUCTS/DCS-4603/REVA/DCS-4603_REVA_FIRMWARE_1.00.00.ZIP
dlink,DES-3226SM,5x-128-EN,8/10/04,ftp://ftp2.dlink.com/PRODUCTS/DES-3226SM/REVA/DES-3226SM_FIRMWARE_4.01B36.ZIP
dlink,DES-3226SM,5x-128-EN,8/31/04,ftp://ftp2.dlink.com/PRODUCTS/DES-3226SM/REVA/DES-3226SM_FIRMWARE_4.02B05.ZIP
dlink,DES-3200-28,5x-120-EN,11/14/13,ftp://ftp2.dlink.com/PRODUCTS/DES-3200-28/REVC/DES-3200-28_REVC_FIRMWARE_4.00.024.ZIP
dlink,DCS-7517,unknown,3/29/18,ftp://FTP2.DLINK.COM/PRODUCTS/DCS-7517/REVB/DCS-7517_REVB_FIRMWARE_v2.00.03.zip
