vendor,product,version,date,url
miwifi,R1DSTA,unknown,unknown,http://bigota.miwifi.com/xiaoqiang/rom/r1d/brcm4709_hdk_9c18f_2.26.5.bin?X-OpenDNS-Session=_d9cc34c906b1004f6508a910d48e26a467569270fa55_WZacI2a4_
miwifi,RA69STA,unknown,unknown,http://cdn.cnbj1.fds.api.mi-img.com/xiaoqiang/rom/ra69/miwifi_ra69_all_81ac71_1.1.10.bin
miwifi,R4STA,unknown,unknown,http://bigota.miwifi.com/xiaoqiang/rom/r4/miwifi_r4_firmware_8ed47_2.26.175.bin?X-OpenDNS-Session=_b08edf470355c042a9081d203d245bff2b4b9270fa5e_R4tS9Mze_
miwifi,R2DDEV,unknown,unknown,http://bigota.miwifi.com/xiaoqiang/rom/r2d/brcm4709_r2d_all_ba6b5_2.25.209.bin?X-OpenDNS-Session=_1abbbc220d08504c7908eeb095db63e0f6329270fa54_pLpcrCvj_
miwifi,RA70DEV,unknown,unknown,https://cdn.cnbj1.fds.api.mi-img.com/miwifi/miwifi_ra70_all_develop_1.0.140.bin?GalaxyAccessKeyId=AKN4YH6B3OTPPRKHHA&Expires=1952944033685&Signature=9/bWi3f84p75qavVZlM2eKvp75U=
miwifi,R3DDEV,unknown,unknown,http://bigota.miwifi.com/xiaoqiang/rom/r3d/miwifi_r3d_firmware_973c1_2.29.5.bin?X-OpenDNS-Session=_541bdb0e03f36044730aa0f0873557a2d53a9270fa55_AV4x6bKh_
miwifi,R1CDEV,unknown,unknown,http://bigota.miwifi.com/xiaoqiang/rom/r1cm/miwifi_r1cm_firmware_2e9b9_2.21.109.bin?X-OpenDNS-Session=_cc4a44420cf60049390ab3d0e9aa05ba274b9270fa5b_TC52xIHU_
miwifi,R3600STA,unknown,unknown,https://cdn.cnbj1.fds.api.mi-img.com/xiaoqiang/rom/r3600/miwifi_r3600_firmware_aba17_1.1.19.bin
miwifi,RA81STA,unknown,unknown,http://cdn.cnbj1.fds.api.mi-img.com/xiaoqiang/rom/ra81/miwifi_ra81_firmware_release_81f29_1.0.52.bin
miwifi,RA72STA,unknown,unknown,http://cdn.cnbj1.fds.api.mi-img.com/xiaoqiang/rom/ra72/miwifi_ra72_firmware_98605_1.0.55.bin
miwifi,R3STA,unknown,unknown,http://bigota.miwifi.com/xiaoqiang/rom/r3/miwifi_r3_firmware_4accc_2.26.39.bin?X-OpenDNS-Session=_8731175a0fe5b04298082a6049264b04d32e9270fa53_uWFuwO3I_
miwifi,R2DSTA,38314,unknown,http://bigota.miwifi.com/xiaoqiang/rom/r2d/brcm4709_r2d_all_dd1c4_2.24.10.bin?X-OpenDNS-Session=_0a350d560ddaf0437208332020e5a288bc6b9270fa4f_RrB5LDRL_
miwifi,R4ASTA,unknown,unknown,http://cdn.cnbj1.fds.api.mi-img.com/xiaoqiang/rom/r4a/miwifi_r4a_all_cddf4_2.28.69.bin
miwifi,R4CMSTA,unknown,unknown,http://bigota.miwifi.com/xiaoqiang/rom/r4cm/miwifi_r4cm_firmware_cb838_2.14.80.bin?X-OpenDNS-Session=_9f86dc1b073a40433709457076a6d722aa5e9270fa54_Ad40SK4T_
miwifi,R4CSTA,unknown,unknown,http://bigota.miwifi.com/xiaoqiang/rom/r4c/miwifi_r4c_firmware_41393_2.30.18.bin?X-OpenDNS-Session=_8f75daf900469048890a4b90d1392970b2879270fa5a_RWPrNIK3_
miwifi,R1CLDEV,unknown,unknown,http://bigota.miwifi.com/xiaoqiang/rom/r1cl/miwifi_r1cl_firmware_82b5c_2.7.81.bin?X-OpenDNS-Session=_4f53623a099bd040140914f0af1baf06eb669270fa55_bWwryZcT_
miwifi,RM1800STA,unknown,unknown,https://cdn.cnbj1.fds.api.mi-img.com/xiaoqiang/rom/rm1800/miwifi_rm1800_firmware_f100f_1.0.390.bin
miwifi,RB03STA,unknown,unknown,http://cdn.cnbj1.fds.api.mi-img.com/xiaoqiang/rom/rb03/miwifi_rb03_firmware_8ef6e_1.0.28.bin
miwifi,R2350STA,unknown,unknown,https://cdn.cnbj1.fds.api.mi-img.com/xiaoqiang/rom/r2350/miwifi_r2350_firmware_0cc61_1.3.8.bin
miwifi,RA71STA,unknown,unknown,https://cdn.cnbj1.fds.api.mi-img.com/xiaoqiang/rom/ra71/miwifi_ra71_firmware_e8042_1.0.88.bin
miwifi,R1CSTA,unknown,unknown,http://bigota.miwifi.com/xiaoqiang/rom/r1cm/miwifi_r1cm_firmware_dbf42_2.22.19.bin?X-OpenDNS-Session=_8e876f8907425047b509ddd0dfc06617ec069270fa40_gssXMLmJ_
miwifi,R3DEV,unknown,unknown,http://bigota.miwifi.com/xiaoqiang/rom/r3/miwifi_r3_firmware_e9f31_2.27.120.bin?X-OpenDNS-Session=_8e033e3f0f9d1040cd0961b01df539daa71a9270fa55_pU2Q5mSY_
miwifi,RM2100STA,unknown,unknown,http://cdn.cnbj1.fds.api.mi-img.com/xiaoqiang/rom/rm2100/miwifi_rm2100_all_fb720_2.0.23.bin
miwifi,RA80STA,unknown,unknown,http://cdn.cnbj1.fds.api.mi-img.com/xiaoqiang/rom/ra80/miwifi_ra80_firmware_release_a330a_1.0.30.bin
miwifi,R3GSTA,unknown,unknown,http://bigota.miwifi.com/xiaoqiang/rom/r3g/miwifi_r3g_firmware_9be74_2.28.44.bin?X-OpenDNS-Session=_839a49640db0c04ac9093030fb01583782329270fa47_MeXPQAd8_
miwifi,RA70STA,unknown,unknown,http://cdn.cnbj1.fds.api.mi-img.com/xiaoqiang/rom/ra70/miwifi_ra70_firmware_d96a4_1.0.108.bin
miwifi,R2100STA,unknown,unknown,http://cdn.cnbj1.fds.api.mi-img.com/xiaoqiang/rom/r2100/miwifi_r2100_all_7d7b2_2.0.743.bin
miwifi,R1350STA,unknown,unknown,https://cdn.cnbj1.fds.api.mi-img.com/xiaoqiang/rom/r1350/miwifi_r1350_firmware_c56d8_1.0.29.bin
miwifi,D01STA,unknown,unknown,http://bigota.miwifi.com/xiaoqiang/rom/d01/miwifi_d01_firmware_52359_1.0.68.bin?X-OpenDNS-Session=_1513b90a0106704cb40b59802fe6471330db9270fa50_CPGj7inH_
miwifi,RA67STA,unknown,unknown,https://cdn.cnbj1.fds.api.mi-img.com/xiaoqiang/rom/ra67/miwifi_ra67_firmware_cca10_1.0.44.bin
